                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.3145,                 1.0156,                 1.3369,                0.83555,                0.82759,                0.90312,                0.51873,                 1.5264,                 1.0843,                 1.7286,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2446,                0.99953,                 1.2959,                0.92663,                0.87124,                0.94226,                0.53281,                 1.5427,                 1.0214,                 1.7348,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2231,                0.99635,                 1.2978,                0.89549,                0.88666,                0.93025,                0.56328,                  1.467,                  0.977,                  1.666,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1685,                0.92816,                 1.2481,                0.89573,                0.88892,                0.93647,                0.53065,                 1.4629,                0.98831,                 1.6536,                0.00101,                0.00101,                0.00101
                     52,                 1.2061,                0.94876,                  1.258,                0.86463,                0.82759,                0.86187,                0.49804,                  1.495,                 1.0724,                   1.63,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1736,                0.86659,                 1.2612,                0.82055,                0.78853,                0.84886,                0.48057,                 1.5474,                 1.1705,                  1.636,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1734,                0.90935,                 1.2218,                0.86896,                0.86207,                0.92101,                0.47138,                 1.6957,                 1.1195,                 1.8208,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1749,                0.91678,                  1.242,                 0.8904,                0.93103,                 0.9289,                0.49242,                 1.6002,                 1.0859,                 1.7218,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1029,                0.86103,                 1.2439,                 0.8172,                0.82759,                0.84799,                0.48627,                 1.6587,                 1.0612,                 1.7441,               0.000911,               0.000911,               0.000911
                     57,                 1.2162,                0.90452,                 1.2849,                  0.795,                0.82759,                 0.8379,                0.52028,                 1.4994,                 1.1485,                  1.639,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1716,                0.89543,                 1.2628,                0.99924,                0.72414,                0.91202,                0.53963,                 1.4358,                 1.1166,                 1.6246,              0.0008714,              0.0008714,              0.0008714
                     59,                   1.13,                0.86535,                 1.2477,                0.87635,                0.93103,                0.93069,                0.56636,                 1.4566,                 1.0563,                 1.6199,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1676,                0.93323,                 1.2701,                0.89484,                0.88056,                0.90395,                0.52636,                 1.5495,                 1.1016,                 1.6783,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1708,                0.92107,                 1.2643,                0.86402,                0.86207,                 0.9037,                0.51338,                 1.5663,                 1.0587,                 1.6688,               0.000812,               0.000812,               0.000812
                     62,                  1.117,                0.85968,                 1.2242,                 0.8696,                0.82759,                0.88963,                0.49038,                 1.5463,                 1.0463,                  1.673,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1131,                0.89597,                 1.2302,                0.91373,                0.82759,                0.90225,                0.50865,                  1.568,                 0.9794,                 1.6463,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1079,                0.86446,                 1.2551,                0.89482,                0.89655,                 0.9314,                0.56161,                 1.4129,                0.94602,                 1.6022,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0815,                0.80465,                 1.2088,                0.97462,                0.86207,                0.94595,                0.55432,                 1.4855,                0.98439,                 1.6702,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0784,                0.85721,                 1.1984,                0.91713,                0.86207,                0.92215,                0.58141,                 1.4588,                 1.0047,                 1.6358,               0.000713,               0.000713,               0.000713
                     67,                 1.0517,                0.79447,                 1.1966,                0.96263,                0.88859,                0.93045,                0.54638,                 1.5004,                 0.9913,                 1.6384,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0673,                0.76421,                 1.1767,                0.88683,                0.82759,                0.89502,                0.50605,                  1.587,                0.97011,                 1.7535,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0752,                0.80184,                 1.1738,                0.92365,                0.89655,                 0.9197,                0.54544,                 1.5367,                0.92903,                 1.6832,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0717,                0.81261,                 1.1835,                0.95463,                0.89655,                0.93415,                0.60761,                 1.4124,                0.88841,                  1.556,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1257,                0.79127,                 1.2392,                0.96241,                0.88323,                0.93714,                0.58618,                 1.4255,                0.86331,                 1.5913,               0.000614,               0.000614,               0.000614
                     72,                 1.0781,                0.78982,                 1.2235,                0.95825,                0.79146,                0.92079,                0.57923,                 1.4323,                0.89539,                 1.6495,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0141,                 0.7407,                 1.1379,                0.88616,                0.80555,                0.91581,                 0.5367,                 1.4458,                 1.0037,                 1.6507,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0043,                0.75798,                 1.1691,                0.88783,                0.81904,                0.88266,                0.48718,                 1.5554,                 1.0958,                 1.7838,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0633,                0.79812,                 1.1773,                0.83306,                0.89655,                0.90512,                0.48131,                 1.5544,                 1.0321,                 1.8108,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0477,                0.74025,                 1.1902,                0.78729,                0.93103,                0.91407,                0.52553,                 1.5028,                0.95855,                 1.6646,               0.000515,               0.000515,               0.000515
                     77,                 1.0232,                0.74928,                 1.1848,                0.85938,                0.89655,                0.91948,                0.54127,                 1.4832,                0.96102,                 1.6366,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0216,                0.74578,                 1.1574,                0.81712,                0.86207,                0.88507,                0.53374,                 1.4743,                0.92129,                 1.6585,              0.0004754,              0.0004754,              0.0004754
                     79,                  1.033,                0.73775,                 1.1938,                0.87963,                0.82759,                0.89048,                 0.5745,                 1.4174,                 1.0119,                 1.6451,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0114,                 0.7377,                 1.1877,                0.88885,                0.89655,                0.89804,                0.59369,                 1.3393,                0.91668,                 1.5837,              0.0004358,              0.0004358,              0.0004358
                     81,                0.94921,                0.69094,                 1.1313,                0.86591,                0.89088,                0.90322,                0.59322,                 1.3289,                0.95065,                 1.5617,               0.000416,               0.000416,               0.000416
                     82,                0.98206,                0.73147,                 1.1561,                0.89273,                0.86093,                0.89672,                0.55316,                 1.3956,                0.98569,                 1.6042,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0325,                0.78686,                 1.1863,                0.95449,                0.82759,                0.90972,                0.54894,                 1.4409,                0.96083,                 1.6291,              0.0003764,              0.0003764,              0.0003764
                     84,                0.96279,                0.69797,                  1.136,                0.94805,                0.82759,                0.92066,                0.54573,                  1.502,                0.96605,                  1.687,              0.0003566,              0.0003566,              0.0003566
                     85,                0.95794,                0.72703,                 1.1652,                 0.9611,                0.85216,                0.93282,                0.53695,                 1.4979,                0.94155,                 1.6897,              0.0003368,              0.0003368,              0.0003368
                     86,                0.95443,                 0.6907,                  1.139,                0.92505,                0.86207,                0.92457,                0.53927,                 1.5059,                0.91907,                 1.6862,               0.000317,               0.000317,               0.000317
                     87,                 0.9586,                0.74042,                 1.1424,                0.90908,                0.82759,                0.92188,                0.53358,                 1.4853,                0.88889,                 1.6792,              0.0002972,              0.0002972,              0.0002972
                     88,                0.96276,                0.69033,                 1.1307,                 0.8816,                0.82759,                0.90712,                0.53019,                 1.4878,                0.87242,                 1.7247,              0.0002774,              0.0002774,              0.0002774
                     89,                0.97347,                 0.6973,                 1.1691,                0.88252,                0.82759,                0.89452,                0.52355,                   1.46,                0.85329,                   1.69,              0.0002576,              0.0002576,              0.0002576
                     90,                  0.926,                0.67224,                  1.115,                0.83749,                0.88872,                0.88263,                0.53222,                 1.4212,                0.87052,                 1.6084,              0.0002378,              0.0002378,              0.0002378
                     91,                0.86926,                0.62949,                 1.1251,                0.85433,                0.89655,                0.86884,                0.56012,                  1.403,                 0.8699,                 1.5688,               0.000218,               0.000218,               0.000218
                     92,                0.86211,                0.61281,                 1.1288,                0.89632,                0.89439,                0.88895,                0.55897,                 1.4062,                0.83778,                 1.5843,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.8048,                0.55826,                 1.0769,                0.85399,                0.89655,                0.89356,                0.54631,                 1.4452,                0.80554,                 1.6399,              0.0001784,              0.0001784,              0.0001784
                     94,                0.76218,                0.54624,                 1.0611,                0.86604,                0.89189,                0.90367,                0.55212,                 1.4704,                0.80108,                 1.6555,              0.0001586,              0.0001586,              0.0001586
                     95,                0.74505,                0.51412,                 1.0518,                0.86524,                0.88587,                0.90996,                0.57338,                 1.4784,                0.82871,                 1.6486,              0.0001388,              0.0001388,              0.0001388
                     96,                0.80718,                0.56398,                  1.096,                0.85985,                0.93103,                0.91821,                0.56588,                 1.4623,                0.87564,                 1.6228,               0.000119,               0.000119,               0.000119
                     97,                0.80711,                 0.5612,                 1.0879,                0.83112,                0.93103,                0.91597,                  0.565,                 1.4509,                 0.8443,                 1.6327,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.76304,                0.54514,                  1.076,                0.79654,                0.89655,                0.89359,                0.56575,                 1.4335,                0.86459,                 1.6386,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.75289,                0.52048,                 1.0408,                0.84008,                0.90593,                0.89582,                0.56654,                 1.4433,                0.91047,                 1.6598,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.75342,                0.51668,                 1.0362,                0.84009,                0.93103,                0.89139,                 0.5592,                 1.4533,                0.92065,                 1.6783,               3.98e-05,               3.98e-05,               3.98e-05
