                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1738,                 3.3503,                 2.0908,                0.00549,                0.96552,                0.39536,                0.20866,                 1.3308,                 3.1644,                 1.5846,                0.00016,                0.00016,                0.00016
                      2,                 1.5631,                 2.3936,                 1.5779,                0.00549,                0.96552,                0.53953,                0.25639,                 1.5456,                 2.8527,                  1.741,             0.00033663,             0.00033663,             0.00033663
                      3,                 1.5881,                  2.137,                  1.582,                0.42613,                0.72414,                0.67299,                0.26058,                 1.7396,                 2.7944,                 1.9354,              0.0005097,              0.0005097,              0.0005097
                      4,                  1.516,                 1.9709,                 1.5508,                0.92372,                0.41786,                0.78605,                0.44902,                 1.3396,                 2.5009,                 1.7099,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.5322,                 1.9721,                 1.5889,                0.71109,                 0.2554,                0.35063,                0.15485,                 1.9521,                 3.1146,                 2.5574,             0.00084515,             0.00084515,             0.00084515
                      6,                 1.5447,                 1.8994,                 1.5282,                0.68382,                0.59691,                0.61055,                0.29916,                 1.7955,                 2.6399,                 2.2651,              0.0010075,              0.0010075,              0.0010075
                      7,                 1.4877,                 1.7542,                 1.5064,                0.62242,                0.58621,                0.62144,                0.28129,                 1.7577,                 2.4748,                 2.1069,              0.0011663,              0.0011663,              0.0011663
                      8,                 1.5547,                 1.7908,                 1.5356,                0.59438,                0.58621,                0.59743,                0.23374,                  1.903,                 2.4625,                 2.1295,              0.0013216,              0.0013216,              0.0013216
                      9,                 1.6371,                 1.7713,                 1.5717,                 0.3323,                0.44828,                0.37742,                0.14782,                 1.8902,                 2.5881,                 2.2277,              0.0014733,              0.0014733,              0.0014733
                     10,                 1.5594,                 1.7171,                 1.5067,                0.48003,                0.51724,                0.47704,                0.17758,                 2.1084,                  2.625,                  2.453,              0.0016214,              0.0016214,              0.0016214
                     11,                 1.6491,                 1.6872,                 1.5134,                0.65353,                0.65058,                 0.5632,                0.23985,                 1.7825,                 2.5845,                 2.3506,               0.001766,               0.001766,               0.001766
                     12,                 1.7089,                 1.7502,                  1.568,                0.51608,                0.37931,                0.39336,                0.18803,                  1.842,                 2.8229,                 1.9951,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5405,                 1.6887,                  1.476,                0.63171,                0.44828,                0.48684,                0.24558,                 1.9864,                 2.5653,                  2.206,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5702,                 1.6275,                 1.5277,                 0.5137,                0.44828,                0.46371,                0.22149,                 2.0078,                 2.8829,                 2.2235,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5407,                 1.6474,                 1.5413,                0.70476,                0.41169,                0.48087,                0.23744,                 1.7625,                 2.6558,                 2.0267,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5537,                 1.5682,                 1.5086,                0.59659,                0.51724,                0.60156,                0.21554,                 1.9783,                 3.6878,                 2.2099,               0.001703,               0.001703,               0.001703
                     17,                  1.539,                 1.5148,                 1.4753,                0.37824,                0.51724,                0.32928,                0.14807,                 2.2234,                 3.5241,                 2.2328,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4905,                 1.5046,                 1.4753,                0.42124,                0.62069,                0.44996,                0.15595,                 1.9502,                 3.0219,                 2.1574,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.4551,                  1.453,                 1.4418,                0.59851,                0.72414,                0.55668,                0.22781,                 1.9347,                 2.4267,                 2.1888,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4436,                 1.3781,                 1.4543,                0.43443,                0.51724,                0.49281,                0.23301,                 1.8617,                 2.7318,                 2.1239,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.4746,                 1.3475,                 1.4525,                0.50864,                0.58621,                0.44155,                0.21791,                  2.005,                 2.1525,                  2.174,               0.001604,               0.001604,               0.001604
                     22,                 1.4301,                 1.4084,                 1.4886,                0.63897,                0.73254,                0.72177,                0.37927,                 1.6657,                 1.6126,                  1.803,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5256,                 1.4507,                 1.5094,                0.65292,                0.68966,                0.70548,                0.24685,                 2.0522,                 1.7135,                 2.2124,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.4371,                 1.3903,                 1.4684,                0.65303,                0.72414,                0.76477,                0.41834,                 1.5948,                 1.4853,                 1.7863,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5415,                 1.3957,                 1.4851,                0.58044,                0.58621,                0.51396,                0.23297,                 1.9563,                 2.1789,                 2.1305,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.4638,                 1.4291,                 1.4839,                0.69094,                0.65517,                0.73885,                0.35542,                 1.6634,                 1.5414,                 1.7607,               0.001505,               0.001505,               0.001505
                     27,                 1.4952,                 1.3766,                 1.4625,                0.79686,                0.68966,                0.75562,                0.39309,                 1.6484,                 1.5814,                 1.7655,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4315,                 1.3134,                 1.4392,                0.50064,                0.86207,                0.53247,                0.28631,                 1.6416,                 1.9145,                 1.7451,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3685,                 1.2658,                 1.3839,                 0.8002,                 0.7931,                0.83942,                0.44711,                 1.6261,                 1.3498,                  1.776,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3895,                 1.2978,                 1.4147,                0.79357,                0.79544,                0.83547,                0.43236,                 1.6099,                 1.3473,                 1.8128,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.4518,                 1.2665,                 1.4401,                0.73064,                0.68966,                0.79009,                0.41666,                 1.5463,                 1.3756,                 1.7413,               0.001406,               0.001406,               0.001406
                     32,                 1.3585,                 1.1881,                 1.3872,                0.85608,                0.86207,                0.86288,                0.47565,                 1.5877,                 1.2686,                 1.6927,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3917,                 1.1938,                 1.3691,                0.79272,                0.68966,                0.77906,                 0.4268,                 1.5817,                 1.2639,                 1.7135,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.4278,                 1.1763,                 1.3987,                0.88329,                0.78324,                 0.8662,                0.43799,                 1.6442,                 1.2072,                 1.7925,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3533,                 1.1527,                 1.3694,                0.82726,                 0.7931,                0.84213,                0.42055,                 1.6776,                 1.3383,                 1.8286,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3678,                 1.1259,                 1.3691,                0.84971,                0.82759,                0.88729,                0.50364,                 1.5404,                 1.0935,                 1.6893,               0.001307,               0.001307,               0.001307
                     37,                 1.2812,                 1.1316,                 1.3595,                0.88892,                0.82789,                0.89966,                0.54064,                 1.4888,                 1.0111,                 1.6683,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3033,                 1.1313,                 1.3719,                0.92797,                0.89655,                0.93511,                0.52618,                 1.5422,                 1.0805,                 1.7091,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3843,                 1.2267,                 1.4015,                0.68656,                0.75862,                0.80778,                0.42662,                 1.6796,                 1.3963,                 1.8044,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3603,                 1.1175,                 1.3769,                 0.7793,                0.89655,                0.89858,                0.49978,                 1.5165,                 1.1095,                 1.6847,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3446,                 1.1354,                 1.3775,                0.88561,                0.93103,                  0.944,                0.53761,                 1.5163,                 1.1401,                 1.7081,               0.001208,               0.001208,               0.001208
                     42,                 1.2996,                 1.0504,                 1.3364,                0.85941,                 0.7931,                0.89907,                 0.4469,                 1.6154,                  1.408,                 1.7596,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.297,                  1.104,                 1.3403,                0.79352,                 0.7931,                0.85781,                0.46266,                 1.6634,                 1.3738,                 1.7674,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3236,                 1.1051,                 1.3499,                0.85995,                0.84726,                0.86758,                0.49973,                  1.541,                 1.1558,                  1.692,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2946,                 1.0242,                 1.3111,                0.90103,                0.75862,                0.85954,                0.50652,                 1.5881,                 1.2104,                 1.6898,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2499,                 1.0088,                 1.3149,                0.86323,                 0.7931,                0.84641,                0.45409,                 1.6301,                  1.277,                 1.7579,               0.001109,               0.001109,               0.001109
                     47,                   1.24,                0.97021,                 1.2817,                0.95082,                0.86207,                0.90789,                0.52877,                 1.4985,                 1.0485,                 1.6442,              0.0010892,              0.0010892,              0.0010892
