                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3271,                 1.1198,                 1.3495,                0.94899,                0.75862,                0.88581,                0.48164,                 1.5307,                 1.3569,                 1.8021,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3793,                 1.1315,                 1.4113,                0.88768,                0.81784,                0.86601,                 0.4996,                 1.5135,                 1.2946,                 1.7173,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3069,                 1.0901,                 1.3637,                 0.7558,                0.85399,                0.85287,                0.44309,                  1.608,                 1.2449,                 1.7394,               0.001307,               0.001307,               0.001307
                     37,                 1.3494,                 1.1214,                 1.3558,                0.88396,                0.89655,                0.88651,                0.46361,                 1.5937,                 1.1564,                 1.6823,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2048,                 1.0522,                 1.2903,                0.84971,                0.82759,                0.86403,                0.51755,                 1.5231,                 1.0602,                 1.6885,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3107,                 1.1248,                 1.3463,                0.87796,                0.89655,                0.90585,                0.53957,                 1.4309,                  1.086,                 1.6315,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3511,                  1.081,                 1.3791,                0.86113,                0.85547,                0.90362,                0.49045,                 1.4701,                 1.2316,                 1.7026,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2761,                 1.0803,                 1.3192,                0.85951,                0.84418,                0.87748,                0.48099,                 1.4847,                 1.4678,                 1.6947,               0.001208,               0.001208,               0.001208
                     42,                 1.2565,                 1.0448,                 1.3068,                0.77105,                 0.7931,                0.83522,                0.47959,                 1.4794,                 1.5029,                 1.7196,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3433,                 1.0682,                 1.3461,                0.79274,                 0.7931,                0.84557,                 0.4883,                 1.3996,                 1.3755,                  1.623,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2426,                0.98001,                 1.2823,                0.84024,                 0.7931,                0.84661,                 0.4971,                 1.4761,                 1.1829,                  1.655,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2597,                 1.0487,                 1.3157,                0.90933,                 0.7931,                0.86436,                0.50107,                 1.4682,                 1.0749,                 1.6649,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2644,                 1.0193,                 1.3314,                0.95989,                0.82525,                0.86785,                0.52797,                 1.3983,                 1.0394,                 1.5852,               0.001109,               0.001109,               0.001109
                     47,                 1.2375,                 1.0242,                 1.3105,                 0.9139,                0.82759,                0.85355,                0.54021,                 1.3877,                 1.0715,                 1.6173,              0.0010892,              0.0010892,              0.0010892
